,start_point_latitude,start_point_longitude,start_point_daylight_saving_time_flag,end_point_latitude,end_point_longitude,obd_distance,obd_miles,duration_seconds
680,54.0106,-1.536973,False,54.008372,-1.530063,1.4167263183011212,1.4167263183011212,579.0
681,51.126527,-0.01127,True,51.125523,-0.018032,0.4772130756382725,0.4772130756382725,245.0
682,51.405762,-0.065585,True,51.373275,0.095617,9.05462101328243,9.05462101328243,2018.0
683,51.456695,-0.962367,False,51.456102,-0.968698,0.8202099737532809,0.8202099737532809,241.0
684,52.025438,-0.788882,False,52.02443,-0.783638,0.314413823272091,0.314413823272091,112.0
685,53.839845,-1.503653,False,53.85984,-1.511118,1.9057454465919033,1.9057454465919033,340.0
686,55.958657,-3.123082,False,55.841457,-3.040403,13.392413306291258,13.392413306291258,2910.0
687,53.324758,-3.833622,False,53.30275,-3.543142,15.089378032291417,15.089378032291417,1487.0
688,53.67697,-1.502255,True,53.67697,-1.502255,0.7543446273761234,0.7543446273761234,186.0
689,50.811107,-0.77349,False,50.823185,-0.749962,1.9703680505845858,1.9703680505845858,281.0
690,51.699218,-0.433593,False,51.637933,-0.468497,5.937823113019963,5.937823113019963,1891.0
691,51.81995,-0.318662,False,51.698573,-0.426205,18.58769784458761,18.58769784458761,1942.0
692,51.367075,-0.1786,True,51.356527,-0.17581,1.1364879106020838,1.1364879106020838,469.0
693,51.916037,-0.42335,False,52.331025,-0.616758,41.23046408971606,41.23046408971606,3351.0
694,53.731933,-1.717205,False,53.72364,-1.946145,11.853276863119383,11.853276863119383,2669.0
695,51.978492,-0.231782,False,51.979152,-0.23153,0.9214934780879663,0.9214934780879663,357.0
696,51.986057,-0.185857,False,51.988918,-0.218227,4.045126461465044,4.045126461465044,1238.0
697,51.403108,-0.748725,False,51.520558,-0.082742,45.08793645112542,45.08793645112542,4927.0
698,51.398682,-0.744568,False,51.403197,-0.748695,1.1632068718682893,1.1632068718682893,398.0
699,52.478995,-1.906065,False,52.218885,-1.502378,30.95671279726398,30.95671279726398,3523.0
700,51.565912,0.176808,False,0.0,0.0,2.133788674143005,2.133788674143005,492.0
701,53.784438,-2.257643,False,53.862342,-2.119837,9.85618985126859,9.85618985126859,1473.0
702,51.45891,-0.997988,False,51.458855,-0.997988,0.0,0.0,103.0
703,51.459057,-0.99805,False,51.460267,-0.99837,0.11308955698719478,0.11308955698719478,89.0
704,51.88693,-0.196227,True,51.854737,-0.182735,2.716013481269387,2.716013481269387,544.0
